lastname|name|patronymic|date_of_birth|id
Фамилия1|Имя1|Отчество1 |21.11.1998   |312040348-3048
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия7|Имя7|Отчество7 |11.01.1975   |543568784-8353
Фамилия6|Имя6|Отчество6 |11.01.1975   |943568784-8467
Фамилия3|Имя3|Отчество3 |11.01.1975   |457865234-3431
Фамилия4|Имя4|Отчество4 |11.01.1975   |457865234-3431
Фамилия5|Имя5|Отчество5 |11.01.1975   |357867434-4523
Фамилия6|Имя6|Отчество6 |11.01.1975   |543568784-8353
Фамилия8|Имя8|Отчество8 |12.05.1986   |463836240-4834
Фамилия8|Имя8|Отчество8 |12.05.1986   |463836240-4834
Фамилия8|Имя8|Отчество8 |12.05.1986   |463836240-4834
